DocumentCommitteeSessionID,CommitteeSessionID,GroupTypeID,GroupTypeDesc,ApplicationID,ApplicationDesc,FilePath,LastUpdatedDate
311911,470342,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330402.doc,2016-04-08T10:09:36.117
311914,470474,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330405.doc,2016-04-08T10:09:47.677
311915,470471,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330406.doc,2016-04-08T10:09:50.68
311918,470889,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330409.doc,2016-04-08T10:10:02.257
311919,470889,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330410.doc,2016-04-08T10:10:05.51
311920,470889,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330411.doc,2016-04-08T10:10:08.633
311922,470477,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330413.doc,2016-04-08T10:10:14.637
311929,470752,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330420.doc,2016-04-08T10:10:36.46
311930,470977,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330421.doc,2016-04-08T10:10:39.57
311931,470832,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330422.doc,2016-04-08T10:10:42.69
311932,470474,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330423.doc,2016-04-08T10:10:45.76
311933,470985,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330424.doc,2016-04-08T10:10:48.767
311935,470479,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330426.doc,2016-04-08T10:10:54.923
311936,471480,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330427.doc,2016-04-08T10:10:57.91
311939,471623,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330430.doc,2016-04-08T10:11:12.623
311943,471657,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330434.doc,2016-04-08T10:11:25.37
311944,471657,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330435.doc,2016-04-08T10:11:28.337
311945,471657,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330436.doc,2016-04-08T10:11:31.363
